123	application/vnd.lotus-1-2-3
mpf	application/vnd.ms-mediapackage
mpg	video/mpeg
mpg4	video/mp4
mpga	audio/mpeg
mpire	application/x-mpire
mpkg	application/vnd.apple.installer+xml
mpl	application/x-mpire
mpm	application/vnd.blueice.multipass
mpn	application/vnd.mophun.application
mpp	application/vnd.ms-project
mpt	application/x-project
mpv	video/mpeg
mpv2	video/x-mpeg2
mpx	application/x-project
mpy	application/vnd.ibm.minipay
mqy	application/vnd.mobius.mqy
mrc	application/marc
mrcx	application/marcxml+xml
ms	application/x-troff-ms
mscml	application/mediaservercontrol+xml
mseed	application/vnd.fdsn.mseed
mseq	application/vnd.mseq
msf	application/vnd.epson.msf
msh	model/mesh
msi	application/msi
msl	application/vnd.mobius.msl
msm	application/msm
msty	application/vnd.muvee.style
msw	application/msword
mts	model/vnd.mts
mus	application/vnd.musician
musicxml	application/vnd.recordare.musicxml+xml
mv	video/x-sgi-movie
mvb	application/x-msmediaview
mwf	application/vnd.mfer
mwrt	application/macwriteii
mxf	application/mxf
mxl	application/vnd.recordare.musicxml
mxml	application/xv+xml
mxs	application/vnd.triscape.mxs
mxu	video/vnd.mpegurl
my	audio/make
mzz	application/x-vnd.audioexplosion.mzz
n2p	application/n2p
n3	text/n3
nap	image/naplps
naplps	image/naplps
nb	application/mathematica
nbp	application/vnd.wolfram.player
nc	application/x-netcdf
ncm	application/vnd.nokia.configuration-message
ncx	application/x-dtbncx+xml
n-gage	application/vnd.nokia.n-gage.symbian.install
ngdat	application/vnd.nokia.n-gage.data
nif	image/x-niff
niff	image/x-niff
nix	application/x-mix-transfer
nlu	application/vnd.neurolanguage.nlu
nml	application/vnd.enliven
nnd	application/vnd.noblenet-directory
nns	application/vnd.noblenet-sealer
nnw	application/vnd.noblenet-web
npx	application/x-netfpx
nsc	application/x-nschat
nsf	application/vnd.lotus-notes
nvd	application/x-navidoc
oa2	application/vnd.fujitsu.oasys2
oa3	application/vnd.fujitsu.oasys3
oas	application/vnd.fujitsu.oasys
obd	application/x-msbinder
oda	application/oda
odb	application/vnd.oasis.opendocument.database
odc	text/x-ms-odc
odf	application/vnd.oasis.opendocument.formula
odft	application/vnd.oasis.opendocument.formula-template
odg	application/vnd.oasis.opendocument.graphics
odi	application/vnd.oasis.opendocument.image
odm	application/vnd.oasis.opendocument.text-master
odp	application/vnd.oasis.opendocument.presentation
ods	application/vnd.oasis.opendocument.spreadsheet
odt	application/vnd.oasis.opendocument.text
ofc	application/x-ofc
ofml	application/fml
ofx	application/x-ofx
oga	audio/ogg
ogg	audio/ogg
ogv	video/ogg
ogx	application/ogg
omc	application/x-omc
omcd	application/x-omcdatamaker
omcr	application/x-omcregerator
onepkg	application/onenote
onetmp	application/onenote
